County_Name,State,FIPS,Median_Income,Poverty_Rate_Pct,Uninsured_Rate_Pct,Pct_Black,Pct_Hispanic,Diabetes_Rate,Hypertension_Rate,Mental_Health_Poor_Days,Preventive_Screening_Rate,Medicare_Spending_Per_Beneficiary,Equity_Gap_Score,Equity_Quartile,Primary_Driver
Linn,IA,19113,75457.0,9.26,0.41,5.84,3.59,10.45,29.75,16.700000000000003,62.1,10735.44,0.1684,1.0,Uninsured
Louisa,IA,19115,72500.0,9.9,0.22,0.69,16.31,11.45,33.3,16.55,66.85,10712.09,0.2121,2.0,Diabetes
Lucas,IA,19117,63405.0,16.41,2.38,0.35,2.53,12.25,36.1,17.95,62.25,11664.87,0.2976,3.0,Poverty
Lyon,IA,19119,73735.0,3.82,0.82,0.2,3.04,10.8,34.85,17.75,64.2,11030.41,0.1897,1.0,Uninsured
Madison,IA,19121,88110.0,6.06,0.7,1.28,2.41,9.5,31.15,16.450000000000003,64.75,11084.62,0.1503,1.0,Uninsured
Mahaska,IA,19123,65200.0,11.57,0.48,1.71,2.42,10.7,33.8,17.549999999999997,63.05,10109.29,0.2133,2.0,Poverty
Marion,IA,19125,74193.0,7.28,0.9,0.56,2.19,9.6,32.25,16.35,65.1,11445.42,0.1676,1.0,Uninsured
Marshall,IA,19127,70828.0,10.72,0.58,2.11,24.26,11.75,32.65,16.3,59.85,9648.38,0.2198,2.0,Diabetes
Mills,IA,19129,81907.0,6.82,0.51,0.26,3.73,10.05,32.85,16.049999999999997,64.9,14489.91,0.1736,1.0,Uninsured
Mitchell,IA,19131,66056.0,6.53,1.44,0.56,1.77,10.75,34.4,16.65,63.95,10805.71,0.2045,1.0,Uninsured
Monona,IA,19133,59897.0,11.99,0.23,0.3,2.23,11.5,35.75,17.6,62.3,12300.11,0.2404,2.0,Hypertension
Monroe,IA,19135,76324.0,10.63,0.83,0.15,0.32,10.4,33.7,16.950000000000003,61.25,13412.85,0.2066,1.0,Uninsured
Montgomery,IA,19137,61261.0,14.21,0.21,0.45,1.04,11.4,35.25,17.45,60.3,12962.85,0.2453,2.0,Poverty
Muscatine,IA,19139,67427.0,11.49,0.36,2.71,18.63,11.3,33.2,17.4,60.45,11101.17,0.2176,2.0,Poverty
O'Brien,IA,19141,65076.0,11.9,1.04,1.39,5.75,11.2,34.1,17.5,61.5,10931.18,0.231,2.0,Uninsured
Osceola,IA,19143,67561.0,12.36,0.63,0.94,8.85,12.3,35.6,17.25,61.3,10922.57,0.2586,2.0,Diabetes
Page,IA,19145,58264.0,12.6,0.27,1.54,3.68,12.1,37.4,17.35,60.85,15188.13,0.2658,3.0,Hypertension
Palo Alto,IA,19147,67306.0,10.21,0.96,2.05,3.65,10.75,34.1,16.75,61.45,11213.03,0.2147,2.0,Uninsured
Plymouth,IA,19149,79963.0,5.59,1.24,1.78,5.82,10.1,32.35,16.2,64.5,12231.44,0.1723,1.0,Uninsured
Pocahontas,IA,19151,61434.0,8.87,0.86,0.16,4.55,11.55,34.65,16.950000000000003,63.65,14092.07,0.225,2.0,Uninsured
Polk,IA,19153,78827.0,10.15,0.56,7.3,8.91,9.85,30.65,17.299999999999997,63.65,10874.17,0.1703,1.0,Uninsured
